"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2"
"https://www.google.co.th/maps/place/SJ%E0%B8%97%E0%B8%B2%E0%B9%82%E0%B8%81%E0%B8%B0%E0%B8%A2%E0%B8%B2%E0%B8%81%E0%B8%B4/data=!4m7!3m6!1s0x313c0d4b7d586d8b:0x12e44a9a28bd5720!8m2!3d17.3926045!4d104.7266717!16s%2Fg%2F11qmqlncw1!19sChIJi21YfUsNPDERIFe9KJpK5BI?authuser=0&hl=th&rclk=1","SJทาโกะยากิ","5.0","(1)","ร้านอาหาร","·","149","เปิด","⋅ ปิด 21:00","https://lh5.googleusercontent.com/p/AF1QipMHmrm33Zqbx1mjNra-21v9UtJaWj_JFarWm7Ay=w122-h92-k-no","สั่งกลับบ้าน","",""
"https://www.google.co.th/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%8B%E0%B9%88%E0%B8%9A%E0%B8%88%E0%B8%B1%E0%B8%87+%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%9E%E0%B8%99%E0%B8%A1/data=!4m7!3m6!1s0x313c0c7292e78b3f:0x42b21ff27adf8e89!8m2!3d17.3893702!4d104.7266365!16s%2Fg%2F11gf8h5hs2!19sChIJP4vnknIMPDERiY7fevIfskI?authuser=0&hl=th&rclk=1","ร้านแซ่บจัง นครพนม","5.0","(1)","ร้านอาหาร","·","9PQG+PMR","เปิด","⋅ ปิด 21:00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7lCLHChPwpG0Em_IQhzEkw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=9.607769&pitch=0&thumbfov=100","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99+%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%95%E0%B9%88%E0%B8%B2%E0%B8%A2/data=!4m7!3m6!1s0x313c0d70cee9fb07:0xcf42d26fec2e191c!8m2!3d17.4085966!4d104.7246005!16s%2Fg%2F11h05bwr6t!19sChIJB_vpznANPDERHBku7G_SQs8?authuser=0&hl=th&rclk=1","ร้าน ครัวคุณต่าย","4.8","(4)","ร้านอาหาร","·","CP5F+CRQ Nern Sa-At Road","ใกล้ปิดแล้ว","⋅ 20:00 ⋅ เปิด 09:00 พฤ.","https://lh5.googleusercontent.com/p/AF1QipPJSpU2E_rjgL5t9GQCA08H6h8C9wMZC_utIfPg=w122-h92-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%8B%E0%B8%B8%E0%B8%A1%E0%B9%81%E0%B8%8B%E0%B8%A7/data=!4m7!3m6!1s0x313c0c73a311fa95:0x5cca97046a4030e4!8m2!3d17.3921585!4d104.7250595!16s%2Fg%2F11f4_5276t!19sChIJlfoRo3MMPDER5DBAagSXylw?authuser=0&hl=th&rclk=1","ครัวซุมแซว","5.0","(2)","ร้านอาหาร","·","9PRG+V27","","","https://lh5.googleusercontent.com/p/AF1QipMwsexQu-Ijeq1H7CDzEhVA5Up42T3cZV-Cm18k=w122-h92-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B9%83%E0%B8%88%E0%B9%81%E0%B8%AD%E0%B9%89%E0%B8%99%E0%B8%9A%E0%B8%B0%E0%B8%AB%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B9%8A%E0%B8%A2%E0%B8%A7/data=!4m7!3m6!1s0x313c0b1c1615de67:0x3fbd748689b72813!8m2!3d17.4092426!4d104.72237!16s%2Fg%2F11rxtwzzyl!19sChIJZ94VFhwLPDEREyi3iYZ0vT8?authuser=0&hl=th&rclk=1","ใจแอ้นบะหมี่เกี๊ยว","5.0","(1)","ร้านอาหาร","·","CP5C+MWX","","","https://lh5.googleusercontent.com/p/AF1QipMTtLlQ3NokGb56M0VZPpvixqjD7dQUxUNIIMob=w122-h92-k-no","","",""
"https://www.google.co.th/maps/place/%E0%B8%AA%E0%B8%A7%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%AE%E0%B8%B7%E0%B8%AD%E0%B8%99%E0%B9%84%E0%B8%A1%E0%B9%89+%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%8D%E0%B8%B2%E0%B8%95%E0%B8%B4/data=!4m7!3m6!1s0x313c0d3393a37767:0x2f64e5a20597dbc9!8m2!3d17.3834102!4d104.7338799!16s%2Fg%2F11mnghybk_!19sChIJZ3ejkzMNPDERyduXBaLlZC8?authuser=0&hl=th&rclk=1","สวนอาหารเฮือนไม้ หนองญาติ","5.0","(1)","ร้านอาหาร","·","22","เปิด","⋅ ปิด 01:00","https://lh5.googleusercontent.com/p/AF1QipPpzQMBoShGfJJNC9QQ0v4aC2j5NgrFJXjRPrZZ=w80-h106-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B9%80%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B9%86/data=!4m7!3m6!1s0x313c0dfd7901e901:0x1f5f70a1c5c21a07!8m2!3d17.3838004!4d104.7147623!16s%2Fg%2F11vd0fy4dw!19sChIJAekBef0NPDERBxrCxaFwXx8?authuser=0&hl=th&rclk=1","เรื่องเตี๋ยวๆ","5.0","(1)","ร้านอาหาร","·","9PM8+R36","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sLUaTPew5lSfX9ncpdvxJA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=181.06804&pitch=0&thumbfov=100","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B9%81%E0%B8%AA%E0%B8%99%E0%B8%8A%E0%B8%B1%E0%B8%A2+%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%95%E0%B8%B2%E0%B8%A1%E0%B8%AA%E0%B8%B1%E0%B9%88%E0%B8%87/data=!4m7!3m6!1s0x313c0dfccbc3ca13:0xd6442e0503b73c88!8m2!3d17.3931571!4d104.7286744!16s%2Fg%2F11vjkmnqqp!19sChIJE8rDy_wNPDERiDy3AwUuRNY?authuser=0&hl=th&rclk=1","แสนชัย อาหารตามสั่ง","5.0","(3)","ร้านอาหาร","·","325 นพ. 2011","เปิด","⋅ ปิด 02:00","https://lh5.googleusercontent.com/p/AF1QipPasPoIoz9K4MmgICp4s-1i78vXBhR3hlfbylEz=w80-h106-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%9E%E0%B8%B5%E0%B9%88%E0%B8%99%E0%B8%B8%E0%B9%8A%E0%B8%81/data=!4m7!3m6!1s0x313c0b126617554b:0x115587588d73c8a0!8m2!3d17.4188854!4d104.6995991!16s%2Fg%2F11gxqml842!19sChIJS1UXZhILPDERoMhzjViHVRE?authuser=0&hl=th&rclk=1","ครัวพี่นุ๊ก","4.0","(4)","ร้านอาหาร","·","เลขที่ 290 หมู่ 8 หมู่บ้าน เนินสะอาด","","","https://lh5.googleusercontent.com/p/AF1QipMp_ICR4txXSaX2fR94mxvdCV-yMsIszKfBmndU=w164-h92-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B8%95%E0%B8%B3%E0%B8%9A%E0%B8%A5+%E0%B8%99%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A2/data=!4m7!3m6!1s0x313c0d3249c9ba13:0x30215e4cc0eca8db!8m2!3d17.3988057!4d104.7331793!16s%2Fg%2F11kj3ngxm7!19sChIJE7rJSTINPDER26jswExeITA?authuser=0&hl=th&rclk=1","ตำบล นาราชควาย","5.0","(1)","ร้านอาหาร","·","342 หมู่ 11 ตำบลนาราชควาย อำเภอเมือง","","","https://lh5.googleusercontent.com/p/AF1QipOsvOQ3d6c2aypQ6wZRVbOZiHmS2ECHE9Ki9dZ8=w80-h106-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
